SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalAmount,DiscountApplied,PaymentMethod,ShippingAddress,OrderStatus
1.0,1358.0,2348.0,,4.0,547.866,10.692,PayPal,Random Address 993 62 Kenwood Place,OnHold
41.0,1121.0,2229.0,2023-04-07,3.0,384.648,12.984,Cash,Random Address 531 5 Bluestem Trail,Delivered
1.0,1545.0,2101.0,,0.0,302.181,2.592,PayPal,Random Address 768 3 Lukken Terrace,Delivered
52.0,1148.0,2412.0,,2.0,300.773,15.516,PayPal,Random Address 423 73 Rowland Crossing,InProgress
60.0,1451.0,2056.0,,1.0,427.68,10.992,CreditCard,Random Address 316 4799 Briar Crest Park,Pending
1.0,1688.0,,,3.0,215.248,0.276,CreditCard,Random Address 464 67 Bluestem Street,Returned
88.0,1500.0,2274.0,,5.0,540.848,12.024,Cash,Random Address 635 5 Dexter Hill,Delivered
89.0,1555.0,2234.0,2023-09-07,5.0,233.717,21.06,PayPal,Random Address 556 0 Ohio Street,Pending
1.0,1056.0,2389.0,2023-07-07,0.0,212.938,11.652,Cash,Random Address 529 32921 Brentwood Place,Pending
110.0,1894.0,2760.0,2023-02-07,1.0,538.285,8.688,BankTransfer,Random Address 951 1 Sauthoff Court,Pending
151.0,1255.0,2617.0,,3.0,295.548,2.472,Cash,Random Address 854 1 Londonderry Court,Pending
171.0,1991.0,2358.0,,3.0,451.506,8.688,BankTransfer,Random Address 221 77290 Randy Plaza,Processing
173.0,1715.0,2546.0,2023-01-07,2.0,293.92,13.38,Cash,Random Address 469 5 Warbler Parkway,Pending
190.0,1552.0,2482.0,,4.0,440.902,18.084,BankTransfer,Random Address 437 29 Walton Park,OnHold
191.0,1766.0,2287.0,2023-05-07,3.0,487.575,11.172,PayPal,Random Address 704 98 Gina Junction,Processing
202.0,1909.0,2361.0,,5.0,400.917,19.956,CreditCard,Random Address 823 19 Ryan Circle,Returned
216.0,1024.0,2105.0,,5.0,376.409,5.124,BankTransfer,Random Address 245 575 Linden Park,Delivered
222.0,1317.0,2609.0,,0.0,516.12,9.012,Cash,Random Address 778 960 Gerald Circle,OnHold
231.0,1589.0,2317.0,2023-07-07,4.0,239.085,14.124,Cash,Random Address 355 9022 Gulseth Drive,Pending
237.0,1452.0,2802.0,2023-12-07,0.0,300.146,17.532,BankTransfer,Random Address 650 881 Spenser Alley,InProgress
254.0,1707.0,2772.0,,4.0,483.681,17.784,CreditCard,Random Address 163 0 Paget Place,Processing
255.0,1380.0,2088.0,,0.0,533.368,6.828,CreditCard,Random Address 331 52 Welch Court,Delivered
261.0,1159.0,2604.0,,5.0,411.587,22.224,Cash,Random Address 857 99 Red Cloud Circle,Processing
285.0,1393.0,2413.0,,3.0,296.164,12.048,Cash,Random Address 689 5 Hovde Plaza,Cancelled
288.0,1865.0,2915.0,,4.0,425.777,12.288,Cash,Random Address 614 18917 Quincy Junction,InProgress
